Period,Demand,Naive Forecast,3-Period Moving Average,Weighted Moving Average,Simple Exponential Smoothing
1,120,,,,
2,124,120.0000,,,120.0000
3,123,124.0000,,,121.2000
4,127,123.0000,122.3333,122.7000,121.7400
5,130,127.0000,124.6667,125.2000,123.3180
6,132,130.0000,126.6667,127.7000,125.3226
7,136,132.0000,129.6667,130.4000,127.3258
8,135,136.0000,132.6667,133.6000,129.9281
9,139,135.0000,134.3333,134.7000,131.4497
10,142,139.0000,136.6667,137.2000,133.7148
11,144,142.0000,138.6667,139.7000,136.2003
12,147,144.0000,141.6667,142.4000,138.5402
13,149,147.0000,144.3333,145.1000,141.0782
14,151,149.0000,146.6667,147.4000,143.4547
15,154,151.0000,149.0000,149.6000,145.7183
